sno	link	university	location	acronym	founded	arts_and_humanities_prebachelor	arts_and_humanities_bachelor	arts_and_humanities_master	arts_and_humanities_doctoral	business_and_social_sciences_prebachelor	business_and_social_sciences_bachelor	business_and_social_sciences_master	business_and_social_sciences_doctoral	language_and_cultural_prebachelor	language_and_cultural_bachelor	language_and_cultural_master	language_and_cultural_doctoral	medicine_and_health_prebachelor	medicine_and_health_bachelor	medicine_and_health_master	medicine_and_health_doctoral	engineering_prebachelor	engineering_bachelor	engineering_master	engineering_doctoral	science_and_technology_prebachelor	science_and_technology_bachelor	science_and_technology_master	science_and_technology_doctoral	ug_local	pg_local	ug_intl.	pg_intl.	student_enrollment	academic_staff	control_type	entity_type	academic_calendar	campus_setting	religious_affiliation	
26	http://www.4icu.org/reviews/3220.htm	Universiti Selangor	Bestari Jaya ...	UNISEL	1999 	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	Not reported	Not reported	 Urban	None	
34	http://www.4icu.org/reviews/10515.htm	Universiti Pertahanan Nasional Malaysia	Kuala Lumpur	UPNM	1995 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Public	 Non-Profit	Not reported	Not reported	None	
2	http://www.4icu.org/reviews/3228.htm	Universiti Teknologi Malaysia	Johor Bahru ...	UTM	1904 	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	1,000-2,500 US$ (750-1,800 Euro)	1,000-2,500 US$ (750-1,800 Euro)	 35,000-39,999	 3,000-3,499	 Public	 Non-Profit	 Semesters	 Suburban	None	
16	http://www.4icu.org/reviews/3216.htm	Universiti Malaysia Pahang	Kuantan ...	UMP	2002 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	1,000-2,500 US$ (750-1,800 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	1,000-2,500 US$ (750-1,800 Euro)	1,000-2,500 US$ (750-1,800 Euro)	 6,000-6,999	 1,500-1,999	 Public	 Non-Profit	 Semesters	 Suburban	None	
1	http://www.4icu.org/reviews/3222.htm	Universiti Malaya	Kuala Lumpur	UM	1905 	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Not reported	Not reported	Not reported	Not reported	 over-45,000	 4,500-4,999	 Public	 Non-Profit	 Semesters	 Urban	None	
19	http://www.4icu.org/reviews/10520.htm	Universiti Teknikal Malaysia Melaka	Ayer Keroh	UTeM	2000 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	 8,000-8,999	 800-899	 Public	 Non-Profit	Not reported	Not reported	None	
9	http://www.4icu.org/reviews/8148.htm	Universiti Tun Hussein Onn Malaysia	Batu Pahat	UTHM	2000 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	 10,000-14,999	 800-899	 Public	 Non-Profit	 Semesters	 Suburban	None	
11	http://www.4icu.org/reviews/3224.htm	Universiti Malaysia Sarawak	Kota Samarahan	UNIMAS	1992 	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	1,000-2,500 US$ (750-1,800 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	 7,000-7,999	 1,000-1,499	 Public	 Non-Profit	 Semesters	 Suburban	None	
17	http://www.4icu.org/reviews/3225.htm	Universiti Pendidikan Sultan Idris	Tanjong Malim ...	UPSI	1922 	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	2,500-5,000 US$ (1,800-3,700 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	5,000-7,500 US$ (3,700-5,500 Euro)	5,000-7,500 US$ (3,700-5,500 Euro)	 10,000-14,999	 1,000-1,499	 Public	 Non-Profit	 Semesters	 Suburban	 Islamic 	
10	http://www.4icu.org/reviews/14629.htm	Al-Madinah International University	Shah Alam	MEDIU	2006 	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	 Non-Profit	Not reported	Not reported	None	
23	http://www.4icu.org/reviews/14636.htm	INTI International University	Putera Nilai	na	2010 Origins date back to 1986	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	Not reported	Not reported	Not reported	None	
12	http://www.4icu.org/reviews/3231.htm	Universiti Tenaga Nasional	Kajang ...	UNITEN	1997 Origins date back to 1976	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	2,500-5,000 US$ (1,800-3,700 Euro)	1,000-2,500 US$ (750-1,800 Euro)	5,000-7,500 US$ (3,700-5,500 Euro)	1,000-2,500 US$ (750-1,800 Euro)	 10,000-14,999	 500-599	 Private	 Non-Profit	 Semesters	 Urban	None	
25	http://www.4icu.org/reviews/10519.htm	Universiti Malaysia Terengganu	Kuala Terengganu	UMT	1979 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	0-1,000 US$ (0-750 Euro)	 8,000-8,999	 1,500-1,999	 Public	 Non-Profit	 Semesters	 Suburban	None	
